Pixel,Resultado
1809,Positivo
1810,Positivo
1811,Positivo
1812,Positivo
1813,Positivo
1814,Positivo
1815,Positivo
1816,Positivo
1817,Positivo
1818,Positivo
1819,Positivo
1820,Positivo
1821,Positivo
1822,Positivo
1823,Positivo
1824,Positivo
1825,Positivo
1826,Positivo
1827,Positivo
1828,Positivo
1829,Positivo
1830,Positivo
1831,Positivo
1832,Positivo
1833,Positivo
1834,Positivo
1835,Positivo
1836,Positivo
1837,Positivo
1838,Positivo
1839,Positivo
1840,Positivo
1841,Positivo
1842,Positivo
1843,Positivo
1844,Positivo
1845,Positivo
1846,Positivo
1847,Positivo
1848,Positivo
1849,Positivo
1850,Positivo
1851,Positivo
1852,Positivo
1853,Positivo
1854,Positivo
1855,Positivo
1856,Positivo
1857,Positivo
1858,Positivo
1859,Positivo
1860,Positivo
1861,Positivo
1862,Positivo
1863,Positivo
1864,Positivo
1865,Positivo
1866,Positivo
